# Frequency, Amplitude
7.214663038258362794e+05 5.191418499584836768e-03
7.254682247478789650e+05 5.351575950700939756e-03
7.294701456699215341e+05 5.498742993759305787e-03
7.302705298543300014e+05 5.559353381709550637e-03
7.342724507763725705e+05 5.593936888267518441e-03
7.358732191451896215e+05 5.667526167956301632e-03
7.374739875140066724e+05 5.702144223471869618e-03
7.430766768048661761e+05 5.745364969429929761e-03
7.494797502801344963e+05 5.844865967318988234e-03
7.542820553865855327e+05 5.862117413480772213e-03
7.622858972306707874e+05 5.978915922808415197e-03
7.654874339683047729e+05 5.996190401608599008e-03
7.694893548903473420e+05 5.931180779723907275e-03
7.742916599967984948e+05 5.935441817827952563e-03
7.782935809188410640e+05 5.831460971770045625e-03
7.886985753161517205e+05 5.943894796120842774e-03
7.943012646070114570e+05 5.887522413636242513e-03
7.975028013446453260e+05 5.930777708551902838e-03
7.999039538978709606e+05 5.922082887555810485e-03
8.031054906355050625e+05 5.787802605682381731e-03
8.055066431887305807e+05 5.792098192744027201e-03
8.079077957419560989e+05 5.844025276017380047e-03
8.167120217704498209e+05 5.791936964275225773e-03
8.191131743236752227e+05 5.705299694932703877e-03
8.239154794301266083e+05 5.696570324979011342e-03
8.311189370898030465e+05 5.757088582375655128e-03
8.343204738274371484e+05 5.627138436521472026e-03
8.375220105650712503e+05 5.627092371244671494e-03
8.391227789338881848e+05 5.531806346182857777e-03
8.423243156715222867e+05 5.540420552944549416e-03
8.479270049623817904e+05 5.440746810267489166e-03
8.503281575156074250e+05 5.440712261309888984e-03
8.535296942532415269e+05 5.336742931571182395e-03
8.567312309908755124e+05 5.354017410371366206e-03
8.599327677285096142e+05 5.284689168786628304e-03
8.647350728349606507e+05 5.258639254755951425e-03
8.695373779414119199e+05 5.167637300436583696e-03
8.735392988634544890e+05 5.072316726417168929e-03
8.799423723387225764e+05 5.011602691594123533e-03
8.839442932607651455e+05 5.007214973978876132e-03
8.879462141828077147e+05 4.989836848305891776e-03
8.903473667360332329e+05 4.963821483232815079e-03
8.967504402113013202e+05 4.916097856467506640e-03
9.007523611333440058e+05 4.911710138852260106e-03
9.087562029774291441e+05 4.937575791775735724e-03
9.119577397150632460e+05 5.058773535037824724e-03
9.135585080838801805e+05 5.080401182495654887e-03
9.167600448215142824e+05 5.097675661295839565e-03
9.199615815591481514e+05 5.088969323980546862e-03
9.271650392188249389e+05 5.028243772838300249e-03
9.303665759564590408e+05 5.049848387657730579e-03
9.335681126940931426e+05 5.101763954611882208e-03
9.415719545381782809e+05 5.253203552093493878e-03
9.463742596446294338e+05 5.231483774082062652e-03
9.495757963822635356e+05 5.309380157151691662e-03
9.551784856731230393e+05 5.330950223013520943e-03
9.639827117016167613e+05 5.504028984272162257e-03
9.695854009924762649e+05 5.495288097999269372e-03
9.735873219145189505e+05 5.460589428249299805e-03
9.863934688650551252e+05 5.235238094141302957e-03
9.895950056026892271e+05 5.243852300902993729e-03
9.919961581559147453e+05 5.174535575637457044e-03
1.000000000000000000e+06 5.044516331868073578e-03
